rule:	389467	
LHS:		
5575 	=	3242 
9633 	=	3805 
4351 	=	8794 
123 	=	9572 
3376 	=	2990 
8447 	=	9527 
7296 	=	818 
7242 	=	9369 
2254 	=	3417 
6782 	=	6961 
RHS:		
RRRR	389467	FIER
end		
		
rule:	763076	
LHS:		
7735 	=	1164 
1339 	=	2712 
5963 	=	6626 
9090 	=	3656 
6219 	=	8922 
7435 	=	4567 
6353 	=	167 
9897 	=	3552 
7734 	=	3863 
3271 	=	1087 
RHS:		
RRRR	763076	FIER
end		
		
rule:	537586	
LHS:		
6722 	=	1342 
3699 	=	3775 
9069 	=	7166 
8945 	=	7788 
502 	=	121 
4207 	=	3200 
1670 	=	6593 
9637 	=	122 
5097 	=	5617 
6476 	=	7952 
RHS:		
RRRR	537586	FIER
end		
		
rule:	752927	
LHS:		
56 	=	8738 
8887 	=	5950 
4036 	=	6278 
475 	=	1659 
9523 	=	1280 
959 	=	2784 
9324 	=	1721 
5034 	=	6700 
5653 	=	7359 
3737 	=	8316 
RHS:		
RRRR	752927	FIER
end		


